@relation flink_release-0.8.1
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.0,0.0,0.007,0.0,0.0,0.005,0.0,0.0,0.02,0.004,0.706,0.007,0.018,0.005,0.022,0.003,0.143,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.054,0.0,0.035,0.0,0.0,0.058,0.785,0.004,0.143,0.003,0.588,0.005,0.014,0.003,0.017,0.002,0.107,0.001,0.122,0.082,0.096,0.077,0.1,0.027,0.084,0.072,0.009,0.0,0.0,0.024,0.023,0.032,0.0,0.172,0.323,0.0,0.0,0.163,0.005,0.0,-1.0
0.022,0.022,0.014,0.0,0.0,0.014,1.0,0.004,0.02,0.001,0.294,0.002,0.007,0.001,0.008,0.001,0.043,0.0,0.13,0.077,0.043,0.042,0.1,0.031,0.059,0.25,0.0,0.0,0.0,0.0,0.015,0.022,0.0,0.2,0.0,0.0,0.0,0.202,0.009,0.0,-1.0
0.011,0.011,0.007,0.0,0.0,0.008,0.5,0.004,0.02,0.001,0.255,0.001,0.003,0.001,0.005,0.0,0.04,0.0,0.148,0.077,0.043,0.042,0.1,0.031,0.059,0.25,0.0,0.0,0.0,0.0,0.03,0.022,0.0,0.2,0.0,0.0,0.0,0.179,0.009,0.0,-1.0
0.129,0.097,0.163,0.0,0.0,0.07,0.785,0.0,0.041,0.002,0.275,0.003,0.006,0.002,0.007,0.001,0.069,0.0,0.037,0.034,0.054,0.02,0.025,0.004,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.055,0.001,0.0,-1.0
0.032,0.022,0.064,0.0,0.0,0.026,0.61,0.024,0.041,0.002,0.275,0.003,0.006,0.002,0.007,0.001,0.069,0.0,0.037,0.019,0.022,0.012,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,-1.0
0.043,0.032,0.028,0.0,0.0,0.011,1.0,0.011,0.0,0.002,0.275,0.003,0.006,0.002,0.007,0.001,0.069,0.0,0.025,0.038,0.015,0.016,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.001,0.0,-1.0
0.054,0.043,0.071,0.0,0.0,0.028,0.6,0.013,0.02,0.002,0.275,0.003,0.006,0.002,0.007,0.001,0.069,0.0,0.033,0.038,0.019,0.017,0.038,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.001,0.0,-1.0
0.022,0.011,0.021,0.0,0.0,0.014,1.0,0.002,0.02,0.001,0.314,0.002,0.005,0.001,0.007,0.001,0.057,0.0,0.086,0.051,0.022,0.026,0.1,0.01,0.039,0.082,0.0,0.0,0.0,0.0,0.02,0.007,0.0,0.066,0.0,0.0,0.0,0.111,0.009,0.0,-1.0
0.054,0.054,0.05,0.0,0.0,0.039,0.855,0.0,0.041,0.001,0.412,0.002,0.008,0.002,0.011,0.001,0.064,0.0,0.148,0.058,0.109,0.048,0.0,0.109,0.029,0.125,0.0,0.0,0.0,0.11,0.052,0.078,0.038,0.1,0.0,0.0,0.0,0.167,0.005,0.0,-1.0
