@relation jena_jena-3.13.1
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.0,0.0,0.008,0.0,0.0,0.002,0.0,0.0,0.087,0.005,0.183,0.005,0.02,0.005,0.026,0.003,0.041,0.0,0.125,0.029,0.073,0.012,0.0,0.008,0.083,0.1,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.045,0.054,0.0,0.0,0.021,0.0,0.0,-1.0
0.0,0.0,0.004,0.0,0.0,0.002,0.0,0.0,0.174,0.009,0.3,0.009,0.039,0.009,0.047,0.006,0.06,0.001,0.292,0.019,0.293,0.017,0.0,0.01,0.167,0.0,0.0,0.0,0.0,0.008,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,-1.0
0.0,0.0,0.008,0.0,0.0,0.004,0.0,0.001,0.13,0.009,0.25,0.009,0.037,0.009,0.044,0.006,0.052,0.001,0.097,0.019,0.106,0.007,0.0,0.002,0.112,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,-1.0
0.0,0.0,0.004,0.0,0.0,0.002,0.0,0.0,0.022,0.005,0.2,0.005,0.017,0.005,0.023,0.003,0.053,0.0,0.083,0.019,0.146,0.019,0.0,0.003,0.167,0.0,0.0,0.0,0.0,0.005,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,-1.0
0.0,0.0,0.004,0.0,0.0,0.002,0.0,0.0,0.087,0.004,0.183,0.005,0.017,0.005,0.023,0.003,0.046,0.0,0.125,0.019,0.146,0.016,0.0,0.005,0.167,0.0,0.0,0.0,0.0,0.004,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,-1.0
0.0,0.0,0.023,0.0,0.0,0.006,0.0,0.0,0.152,0.013,0.283,0.014,0.046,0.014,0.054,0.009,0.077,0.001,0.125,0.019,0.052,0.006,0.025,0.001,0.285,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,-1.0
0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.283,0.014,0.046,0.014,0.054,0.009,0.077,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.012,0.0,0.0,0.001,0.0,0.0,0.13,0.013,0.283,0.014,0.046,0.014,0.054,0.009,0.077,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.283,0.014,0.046,0.014,0.054,0.009,0.077,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.008,0.0,0.0,0.023,0.0,0.0,0.261,0.042,0.433,0.041,0.09,0.043,0.102,0.03,0.171,0.009,0.182,0.02,0.122,0.012,0.022,0.006,0.198,0.0,0.0,0.005,0.005,0.004,0.0,0.006,0.03,0.005,0.0,0.0,0.0,0.066,0.0,0.0,-1.0
