@relation nifi_rel-nifi-0.6.1
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.006,0.0,0.015,0.0,0.0,0.005,1.0,0.0,0.0,0.003,0.154,0.003,0.006,0.003,0.01,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.012,0.012,0.0,0.014,0.0,0.004,0.0,0.01,0.008,0.001,0.135,0.001,0.008,0.001,0.011,0.001,0.018,0.0,0.05,0.048,0.0,0.009,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,-1.0
0.006,0.0,0.015,0.0,0.0,0.005,1.0,0.0,0.0,0.003,0.154,0.003,0.006,0.003,0.01,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.0,0.014,0.0,0.004,0.0,0.007,0.025,0.001,0.077,0.002,0.008,0.001,0.009,0.001,0.016,0.0,0.15,0.048,0.0,0.009,0.0,0.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618,0.0,0.0,-1.0
0.006,0.0,0.021,0.0,0.0,0.014,0.645,0.01,0.033,0.016,0.519,0.017,0.041,0.017,0.054,0.011,0.178,0.002,0.1,0.081,0.047,0.06,0.065,0.053,0.081,0.035,0.016,0.058,0.0,0.007,0.0,0.037,0.01,0.101,0.0,0.0,0.0,0.095,0.002,0.0,-1.0
0.029,0.0,0.049,0.014,0.333,0.017,0.595,0.003,0.008,0.013,0.346,0.011,0.021,0.012,0.03,0.007,0.143,0.001,0.032,0.048,0.018,0.028,0.068,0.0,0.036,0.0,0.0,0.0,0.0,0.007,0.006,0.003,0.009,0.0,0.0,0.0,0.0,0.026,0.002,0.0,-1.0
0.006,0.0,0.021,0.0,0.667,0.007,0.645,0.0,0.008,0.013,0.346,0.011,0.021,0.012,0.03,0.007,0.143,0.001,0.025,0.048,0.015,0.027,0.068,0.0,0.036,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.001,0.0,-1.0
0.006,0.0,0.012,0.0,0.333,0.094,0.575,0.014,0.14,0.118,0.5,0.118,0.162,0.118,0.172,0.091,0.323,0.035,0.254,0.114,0.227,0.117,0.0,0.069,0.367,0.218,0.041,0.0,0.023,0.059,0.0,0.054,0.003,0.061,0.0,0.0,0.0,0.099,0.004,0.0,-1.0
0.14,0.0,0.07,0.0,0.0,0.176,0.53,0.007,0.24,0.144,0.846,0.154,0.287,0.148,0.303,0.125,0.383,0.058,0.134,0.126,0.119,0.133,0.044,0.043,0.183,0.02,0.027,0.17,0.0,0.016,0.015,0.038,0.039,0.157,0.032,0.0,0.0,0.161,0.002,0.075,1.0
0.0,0.0,0.003,0.0,0.0,0.01,0.0,0.0,0.025,0.144,0.846,0.154,0.287,0.148,0.303,0.125,0.383,0.058,0.3,0.381,0.367,0.304,0.091,0.148,0.0,0.0,0.118,0.4,0.0,0.079,0.0,0.103,0.071,0.429,0.0,0.0,0.0,0.273,0.001,0.455,1.0
0.012,0.0,0.0,0.0,0.0,0.002,0.5,0.007,0.0,0.144,0.846,0.154,0.287,0.148,0.303,0.125,0.383,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.023,0.006,0.015,0.0,0.333,0.262,0.5,0.007,0.331,0.293,0.827,0.296,0.39,0.294,0.403,0.259,0.534,0.165,0.366,0.445,0.361,0.316,0.178,0.242,0.336,0.308,0.439,0.1,0.109,0.061,0.056,0.178,0.08,0.236,0.0,0.0,0.0,0.264,0.004,0.084,1.0
0.209,0.024,0.261,0.0,1.0,0.268,0.52,0.007,0.165,0.235,0.827,0.224,0.331,0.231,0.345,0.198,0.475,0.112,0.093,0.12,0.068,0.079,0.062,0.029,0.083,0.075,0.045,0.026,0.018,0.01,0.009,0.03,0.026,0.113,0.008,0.0,0.0,0.161,0.001,0.008,1.0
0.064,0.0,0.07,0.0,0.333,0.026,0.585,0.01,0.0,0.022,0.327,0.018,0.034,0.02,0.042,0.012,0.148,0.002,0.0,0.05,0.015,0.029,0.052,0.0,0.069,0.0,0.005,0.0,0.0,0.0,0.0,0.003,0.0,0.006,0.0,0.0,0.0,0.034,0.001,0.0,-1.0
