,Project,Version,Bugged,NumberOfFields,NumberOfPublicFields,NumberOfPublicMethods_Designite,NumberOfChildren,DepthOfInheritance,LOCClass,LCOM,FANIN,FANOUT,TotalNumberOfOperators,NumberOfDistinctOperators,TotalNumberOfOperands,NumberOfDistinctOperands,Length,Vocabulary,Volume,Difficulty,Effort,CBO,WMC_CK,RFC,LOCMethod_CK,Returns,NumberOfVariables,NumberOfParameters_CK,NumberOfLoops,NumberOfComparisons,NumberOfTryCatch,NumberOfParenthesizedExps,NumberOfStringLiterals,NumberOfNumbers,NumberOfAssignments,NumberOfMathOperations,MaxNumberOfNestedBlocks,NumberOfAnonymousClasses,NumberOfInnerClasses,NumberOfLambdas,NumberOfUniqueWords,NumberOfModifiers,NumberOfLogStatements,index
277348,avro,release-1.8.0,False,2.0,0.0,7.0,0.0,2.0,74.0,0.42,20.0,5.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,3.29,1.0,0.86,3.43,0.93,0.21,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,18.21,1.36,0.0,36
277349,avro,release-1.8.0,False,2.0,0.0,1.0,13.0,1.0,24.0,0.0,0.0,2.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,2.25,1.0,0.5,2.75,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.75,260.5,0.0,36
277350,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,17.0,-1.0,0.0,1.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,2.0,1.0,0.0,3.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,36
277351,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,17.0,-1.0,0.0,1.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,2.0,1.0,0.0,3.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,36
277352,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,17.0,-1.0,0.0,1.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,2.0,1.0,0.0,3.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,36
277353,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,17.0,-1.0,0.0,1.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,2.0,1.0,0.0,3.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,36
277354,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,17.0,-1.0,0.0,1.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,2.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,36
277355,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,17.0,-1.0,0.0,1.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,2.0,1.0,0.0,3.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,36
277356,avro,release-1.8.0,False,0.0,0.0,3.0,0.0,2.0,29.0,-1.0,0.0,1.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,2.0,1.0,0.4,3.0,0.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.8,0.0,36
277357,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,17.0,-1.0,0.0,1.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
